Document,Primary Introducer,Status,Description,Date Introduced
LB867,Legislative Performance Audit Committee,Passed,Change provisions relating to the Administrative Procedure Act and require the Department of Correctional Services to adopt and promulgate rules and regulations,2016-01-11
LB868,Krist,Indefinitely postponed,Require successful completion of a civics examination as a prerequisite to high school graduation,2016-01-11
LB869,Crawford,Indefinitely postponed,Require that certain providers under the Medical Assistance Act be subject to a national criminal history record information check,2016-01-11
LB870,Harr,Indefinitely postponed,Provide an income tax credit to graduates of certain educational institutions,2016-01-11
LB871,Murante,Indefinitely postponed,Provide for a presidential preference primary election,2016-01-11
LB872,Murante,Indefinitely postponed,Change a provision relating to the use of blue and amber rotating or flashing lights,2016-01-11
LB873,Murante,Indefinitely postponed,Authorize escheatment to the state of unclaimed United States Savings Bonds as prescribed,2016-01-11
LB874,Murante,Passed,Change provisions of the Election Act,2016-01-11
LB875,Murante,Passed,Change conditions for approval of a planned unit development for certain second-class cities and villages,2016-01-11
LB876,Murante,Passed,Authorize electronic voting devices for public bodies in public meetings,2016-01-11
LB877,Murante,Passed,Change provisions relating to reviewing and commenting on proposed subdivision plats in certain counties,2016-01-11
LB878,Murante,Indefinitely postponed,Provide and change rulemaking duties relating to veterans homes and the Veterans' Homes Board,2016-01-11
LB879,Murante,Indefinitely postponed,Change signature requirements for partisan candidates,2016-01-11
LB880,McCollister,Indefinitely postponed,Change provisions relating to Military Honor Plates,2016-01-11
LB881,Schilz,Passed,Change provisions relating to energy financing contracts,2016-01-11
LB882,Scheer,Indefinitely postponed,Change provisions relating to school budgeting,2016-01-11
LB883,Scheer,Indefinitely postponed,Provide for foundation aid pursuant to the Tax Equity and Educational Opportunities Support Act,2016-01-11
LB884,Scheer,Passed,Change the Convention Center Facility Financing Assistance Act and the Sports Arena Facility Financing Assistance Act and adopt the Affordable Housing Tax Credit Act,2016-01-11
LB885,Davis,Indefinitely postponed,Provide student journalists the right to exercise freedom of speech and of the press,2016-01-11
LB886,Davis,Passed,Adopt the Volunteer Emergency Responders Incentive Act and provide income tax credits,2016-01-11
LB887,Schilz,Passed,Extend sunset of the Petroleum Release Remedial Action Cash Fund,2016-01-11
LB888,Mello,Indefinitely postponed,Change provisions relating to tax credits under the Nebraska Job Creation and Mainstreet Revitalization Act,2016-01-11
LB889,Mello,Passed,Adopt the School Readiness Tax Credit Act,2016-01-11
LB890,Brasch,Indefinitely postponed,Change provisions relating to actions involving motor vehicle collisions with domestic animals,2016-01-11
LB891,Brasch,Passed,Adopt the Down Syndrome Diagnosis Information and Support Act,2016-01-11
LB892,Kintner,Indefinitely postponed,Change provisions relating to intimidation by telephone call,2016-01-11
LB893,Pansing Brooks,Indefinitely postponed,Modify jurisdiction of juvenile courts and change provisions relating to temporary custody and disposition of juveniles,2016-01-11
LB894,Pansing Brooks,Passed,Change provisions relating to juveniles,2016-01-11
LB895,Coash,Passed,Require a report regarding the Beatrice State Developmental Center and the Bridges program,2016-01-11
LB896,Hansen,Indefinitely postponed,Require pay increases for state employees to recognize length of service,2016-01-11
LB897,Lindstrom,Passed,Allow certain public power agencies to engage in hedging transactions,2016-01-11
LB898,Fox,Passed,Exempt persons solely engaged in natural hair braiding from credentialing requirements under the Uniform Credentialing Act,2016-01-11
LB899,Baker,Passed,Change lead content provisions relating to the Nebraska Safe Drinking Water Act,2016-01-11
LB900,Bloomfield,Indefinitely postponed,"Change motorcycle and moped helmet provisions, motorcycle registration fees, rename the Health Advisory Board, and create the brain injury services program and a fund",2016-01-11
LB901,Kolterman,Indefinitely postponed,Change dental assistant and licensed dental hygienist provisions,2016-01-11
LB902,Kolowski,Passed,Change the Nebraska Clean-burning Motor Fuel Development Act,2016-01-11
LR394CA,Hughes,Indefinitely postponed,Constitutional amendment to authorize taxing bodies to exclude their taxes from pledges made by cities to pay indebtedness on redevelopment projects,2016-01-11
LR395,Hilkemann,,Congratulate the Millard North High School football team on winning the 2015 Class A state championship,2016-01-11
LR396,Hilkemann,,Congratulate the Elkhorn South High School football team on winning the 2015 Class B state championship,2016-01-11
LR397,Gloor,Referral,Interim study to monitor the health care transformation in Nebraska,2016-01-11
LR398CA,Bloomfield,Indefinitely postponed,Constitutional amendment to provide for election of judges and eliminate the merit plan for selection of judges,2016-01-11
LR399CA,Davis,Indefinitely postponed,Constitutional amendment to require cities and villages to obtain voter approval before pledging taxes for the payment of indebtedness related to redevelopment projects,2016-01-11
LB903,Baker,Indefinitely postponed,Change and eliminate provisions relating to learning communities,2016-01-12
